T2ID,T2create_at,text
1313407964838010000,06/10/20 09:17,Duba da yadda uwa takeson yaranta idan bah dai shafar aljanu bah toh sihiri neh aka mata...Allah ya kyauta
1313407554962290000,06/10/20 09:15,Allah ya basu zaman lfy da zuri'a dayyiba amin
1313407186790480000,06/10/20 09:14,Ya basu nasu hakkin shaura nasu.
1313407105546820000,06/10/20 09:13,Fita da Allah ya isa bah
1313406871001350000,06/10/20 09:12,Daga baya kenan
1313406676893150000,06/10/20 09:12,Iskanci dai kowa ya aikata iskan ci sa sai fake da Aljannu
1313405146764850000,06/10/20 09:06,: Shiga ba biya fita da Allah ya isa
1313402307783030000,06/10/20 08:54,Ba matsalar kwakwalwa bane kuma ba shafar Aljannu bane. Saboda muna ganin mahaukata masu yawo goye da yayansu basu kashe su ba.
1313402261788340000,06/10/20 08:54,Sabida zaluncin da sukeyi ma mutane
1313402134780670000,06/10/20 08:54,"Kin makara, don kin San hukuncin ubangiji kafin ki aikata."
1313401975963300000,06/10/20 08:53,Allah ya yafe mana gaba ki daya.
1313401770761240000,06/10/20 08:52,Mai sabulu take da farin ta
1313401348944260000,06/10/20 08:50,"Dan Adam Ajizi ne, Allah ya gafarta muna baki daya."
1313401135768760000,06/10/20 08:50,In aka ciza dai yana da kyau a dinga busawa hon
1313401047512220000,06/10/20 08:49,Kaji yarinyar kirki. Allah ya yafe mana gaba daya.... Kin kyauta.
1313399747336640000,06/10/20 08:44,Abun mamaki alokacin da kike yi hankalin ki ne yagushe ALLAH ya karemu da yin da nasani
1313399671373660000,06/10/20 08:44,MALAN SHK IMAM SA'IDU MUSA FUNTUA. HAFIZAHULLAHU
1313399074960310000,06/10/20 08:41,"Tayi daidai , ina fatan ta nemi afuwar Ubangiji, Allah ya yafe mana gaba daya"
1313398880252430000,06/10/20 08:41,To da safe dubi jikinai
1313398467977460000,06/10/20 08:39,Motar bati
1313398321705370000,06/10/20 08:38,Malamin malamai na duniya Annabi Muhammad Sallallahu alaihi Wa Alihi Wasallam.
1313398109976790000,06/10/20 08:38,Fatan mu Allah yagafartamana baki daya Amman Ayayin da muka zoyin wani Abu mutina fa Muna da ubangiji kum
1313398071552890000,06/10/20 08:37,Anya kuwa yayntane? Akwai tambaya
1313397262391880000,06/10/20 08:34,To Sai kafara gabatar da na hukuncin masu wuff da dukiyar al-umma
1313397168309510000,06/10/20 08:34,. Malam Ibrahim (Accounting and Economics) . Dr Bello Ibrahim (Scholar) . Bukata (Economics) . Malam u
1313396468196220000,06/10/20 08:31,Malam Umar metsula
1313395972576250000,06/10/20 08:29,Sosai sosai... Mun gamsu
1313395953605520000,06/10/20 08:29,Ga masu tunani yana sanitizing wurin
1313395641972920000,06/10/20 08:28,ALLAH yasa a aiwatar
1313395416877220000,06/10/20 08:27,Balbela take da haskenta
1313394783042370000,06/10/20 08:24,Kifara niman gafarar ubangiji kana
1313394211924910000,06/10/20 08:22,Saboda daka yarda kashiga cikinta to kashinka yabushe don saika basu kudi
1313394110775130000,06/10/20 08:22,Allah ya yafe mana
1313392536648590000,06/10/20 08:15,Dama Ai Dana Sani keyace Da Tasani Tun farko bata yibah
1313391425120280000,06/10/20 08:11,sabida zaka biya a cikin Tatar za'ayi maka
1313391202704790000,06/10/20 08:10,The first one malam sunusi primary school Next malama jamila secondary school
1313390573638880000,06/10/20 08:08,"Laifi tun kafun ka aikata ka san kuskure ne, amma ta biyawa son ranta, Allah ka yafe mana gaba daya"
1313390058423100000,06/10/20 08:06,Hakanima bazanmantada malan Nura sarki PHYSICS depatime Sscoe sokoto
1313390008515130000,06/10/20 08:05,Yaduba jikinsa
1313389224805230000,06/10/20 08:02,Allah data nema afuwa gunsa Allah gafarta mata
1313388653616530000,06/10/20 08:00,Allah ysa
1313388186064780000,06/10/20 07:58,Sabida ko bakai laifiba in katashi fita sai kabiya na fetir (dalili dan gwabnati bata kulawa da hakan kok U
1313388121925580000,06/10/20 07:58,Baba afuwa zata nema gurin mutane ba TANEME GAFARAR ALLAH DUK YAFI IDAN HAR TANASON ALLAH YASAWA AUREN ALBARKA
1313388050207130000,06/10/20 07:58,Inna Allah yuhibbu ttawwabin
1313387968384690000,06/10/20 07:57,Aikowa dabba batayadda atabamata danta balle ace takashe da kanta.
1313387382482270000,06/10/20 07:55,"To, Mudai munsan mahaukachiya wadda take hauka tibran, bawanda ya""Isa yatabamata danta, balantana ace tak"
1313386898845570000,06/10/20 07:53,"Shiga ba biya, fita da Allah yaisa. A kashin gaskiya dakaji dan adam yace Allah yaisa tofa kasanicewa"
1313386394073670000,06/10/20 07:51,Kaji hegiya wai brownish toh yasin karya kike ba wani brownish inda brownish neh da nonuwan ki basu fito
1313385883257780000,06/10/20 07:49,Sbd babu adalci a cikinta
1313384950951900000,06/10/20 07:45,Kawai baba munhakura da next level amaidamu inda akaganmu dan Allah baba wlhi mungasu
1313384924515360000,06/10/20 07:45,Saboda gwamnati ba ki asara ta rida da ta biya
1313384622349270000,06/10/20 07:44,Barka masoyan aisha aliyu tsamiya gababbanko
1313384554682630000,06/10/20 07:44,Kuma fita da Allah ya Isa ba
1313384029887100000,06/10/20 07:42,Shehi Tijjani Shek Ibrahim inyas Dahiru bauchi Ml uba safiyanu kadi musa adam
1313383741901940000,06/10/20 07:41,Allah ya bata lfy kuma Allah yasa amata adalci tunda ba'ahaiyacinta takeba
1313383643289660000,06/10/20 07:40,Alhamdulillah day Allah yaganar da it's dawuri
1313382369974520000,06/10/20 07:35,Masha Allah Allah ya shiryamu ya yapemana xunubanmu
1313381927064400000,06/10/20 07:33,Ta nemi afuwa ga Allah yafi mata afuwan social media.
1313381681957570000,06/10/20 07:32,Komadai menene zatayi bayani
1313381332999900000,06/10/20 07:31,Shigarta ba alkhairi bane
1313381232303060000,06/10/20 07:31,Tanema agun Allah yafi mata
1313381178322420000,06/10/20 07:30,Fita ba dadi ba..
1313380839674310000,06/10/20 07:29,": Ina ruwan mu toh,ta nemi afuwa wurin Allah"
1313380382105110000,06/10/20 07:27,...Fita da Allah ya isa. Ko gawa ko mai laifi kaga ko babu mai biya a cikinsu.
1313379634143270000,06/10/20 07:24,Mai laifi shi yake shiga
1313378997951230000,06/10/20 07:22,"Ga amsar yadda za agano haka, akunna wuta inta shiga ciki to da alamun ba hauka bane inkuma shafar aljanu"
1313378572225180000,06/10/20 07:20,Saboda mutane sun gamsu dari bisa dari da aikin Yan sanda yasa ake biya kafin sauka.
1313378564985720000,06/10/20 07:20,Allah ya yafe mana baki daya. Wallahi ta birgeni... Kuma ta nuna mutimiyar kirki ce ita.
1313378388527260000,06/10/20 07:19,: Domin duk Wanda ya shiga Motan toh sai ya biya kamun ya sauka
1313377872543920000,06/10/20 07:17,"Ina ruwan mu toh,ta nemi afuwa wurin Allah"
1313377855682860000,06/10/20 07:17,Mal. Suleiman Jumare
1313377567639060000,06/10/20 07:16,Domin duk Wanda ya shiga Motan toh sai ya biya kamun ya sauka
1313377472386420000,06/10/20 07:16,Ta nemi afuwa wajen Allah kawai!
1313376846092930000,06/10/20 07:13,Bazan manta da malamai na na fira are ba! Su ke burge ni a rayuwa
1313376436774990000,06/10/20 07:11,"Shashasha, amma banga laifinta ba da yawa kamar laifin iyayenta ,wannan ya nuna uwayenta basu ma san addini ba"
1313375131809580000,06/10/20 07:06,Gaskiyane dako ansamu chanjin rayuwa
1313374908169230000,06/10/20 07:05,Allah saka ammakasani cewa ba iya malamai kake mulkaba
1313374651943450000,06/10/20 07:04,Allah taimaka allah bada saa
1313374167601940000,06/10/20 07:02,Sabida lalacewar yansandan kasarne kuma sabida sunshahara gurin karban cinhanci
1313374130260060000,06/10/20 07:02,Balbela da farinta aka ganta
1313373676952260000,06/10/20 07:01,Aiki banza zakawo kudiri afara andani dashi kan talakwane kawai. Nan su hisba ba basa aiki kan masu kudi balle manyan en siyasa.
1313373124222740000,06/10/20 06:58,"Allahu A,alam"
1313372951828400000,06/10/20 06:58,Allah ya jikan Aunty Rabi
1313372766503040000,06/10/20 06:57,Tafara tuba waminta tukun tatuba wa allah
1313372676761820000,06/10/20 06:57,Sauka da Allah ya isa a zuciya itama
1313371879114190000,06/10/20 06:53,Balbela fara ce
1313371733064330000,06/10/20 06:53,gaskiya kin tafka kuskure wllh haba shirmen har ina ko bra babu a jikinki kamar kafura ni banga laifin k
1313371711832820000,06/10/20 06:53,Pita da Allah ya isa
1313371177721700000,06/10/20 06:51,Shiga ba biya sauka da Allah Ya isa. Domin ita dama ba motar fasinja ba ce
1313371021953690000,06/10/20 06:50,daga baya kenan
1313370438429560000,06/10/20 06:48,Saboda motar tsaroce
1313369990935060000,06/10/20 06:46,Damusa ki sabo
1313369830393890000,06/10/20 06:45,"Allah yakarbi tubarta, ya tsare gaba."
1313369753533250000,06/10/20 06:45,Shiga ba biya fita da Allah ya isa
1313369053155800000,06/10/20 06:42,Barbela take da fari
1313369040891630000,06/10/20 06:42,Allah yesan gaibu
1313367061750520000,06/10/20 06:34,Abuntakai ci da ban haushi wannan fa tsakanin ta da Ubangiji ne ta fito tace kuskure aka samu kuma baxata 11
1313366883786130000,06/10/20 06:34,Zaka shiga kyauta amma fa matukar kaga ka sauka to lalle sai ka biya kudin mota koda kana da gaskiya da
1313366673550990000,06/10/20 06:33,Sabuda batakasuwaba
1313366237104210000,06/10/20 06:31,Malamin daya koya min ABCD malam Balarabe Allah ya kara masa lafiya
1313365974620480000,06/10/20 06:30,To Alhmdllh
1313364952384780000,06/10/20 06:26,Da zaa wayi gari kenan kashi tara (9) cikin goma (10) na yan najeriya basu da hannaye.!
1313364312984100000,06/10/20 06:23,Allah ya yafe mana kura kurenmu
1313364285662410000,06/10/20 06:23,belbela take fara
1313364197980410000,06/10/20 06:23,Saboda an riga an biyawa duk mai shiga.!
1313364148051420000,06/10/20 06:23,Malama Maryam biology teacher (Muhd vice Adamu kuka) fagge Kano Itace wacce baxan iya mantawa da itaba ac
1313363575533120000,06/10/20 06:20,Ba gabatarwa ba tabbatarwar
1313363570659340000,06/10/20 06:20,Allah ya kyauta
1313363457455030000,06/10/20 06:20,"Kije ki nemi afwa gurin ubangijin ki Don shi kika sabawa ba mutum ba, sabida duk kin manta da ayoyin da A"
1313362412570130000,06/10/20 06:16,Kai dai ake ji
1313362305455970000,06/10/20 06:15,Allah ya bashi ikon aikatawa.
1313361285325690000,06/10/20 06:11,"Yafi Kama da shafar aljanu,Allah ya Kare mu."
1313361114206530000,06/10/20 06:11,"Tarbiyan gidan manya bai yi ba, yar ka tayi shiga kamar ba musulma ba, kuna murna, Allah wadaran Naka ya"
1313361001715200000,06/10/20 06:10,sai dai gashi koma kai tarazana ka cikin lokaci kadan
1313360743698440000,06/10/20 06:09,"Babbar afuwa gurin Allah zata nemeta, Allah ya shirye mu Baki daya."
1313360652187120000,06/10/20 06:09,Sabida kayi laifi ne shiyas sa
1313360199890210000,06/10/20 06:07,"Ton za, a ne ake shawara basai andawo ba,a akiyaye"
1313358853011110000,06/10/20 06:02,Allah yasa ba irin karin albashin yan sanda yayi masu ba wato kari ama a fatar baki.
1313358260364350000,06/10/20 05:59,Akayi uwar balbela
1313358252290330000,06/10/20 05:59,Ba cinya ba kafar baya
1313357209447860000,06/10/20 05:55,Belbela takeda farinta
1313356408344250000,06/10/20 05:52,Ni dai a gaskiya malam lawal tsafe.
1313355743274450000,06/10/20 05:49,Allah sarki shaugabaninmu na arewa mune da mulki mune abaya Kota wane fani ai doli 'yan kudu surenamu ya Allah kakama arewa mafita
1313354913976550000,06/10/20 05:46,Allah yasa ba irin karin salary din yan sanda bane abiya sau daya a kyalesu
1313354651681600000,06/10/20 05:45,Sbd cutar
1313354361565710000,06/10/20 05:44,Saboda mafi yawan masu shigarta laifi yakai su aciki
1313354251851140000,06/10/20 05:43,Aikin banza daga baya kenan allah ya kyau
1313353900569900000,06/10/20 05:42,Kamata yayi taje ta nemi ilmin addini saboda gaskiya tanada karacin ilmin addini.. Allah ya shirye masu ire iren wanyannan mutane
1313352922512730000,06/10/20 05:38,Ta kira number Mala'ikun da suka rubuta ta rojesu inma bribing zatayi ya rage nata. da yerka 8
1313352829340450000,06/10/20 05:38,: Ba cinyaba kafar baya.
1313352794439670000,06/10/20 05:38,"Allah Ya jikan mamata, Ya karbi shahadar su. Su kima mutanen Allah ka basu yadda zasuyi"
1313352138492390000,06/10/20 05:35,Wa za ta yaudara? Allah?
1313351724342580000,06/10/20 05:33,Ita ta jiwo. Duk fitsararta ba ta Kai Fir'auna ba. In ta ga dama ta riqa yawo tsirara. Ba laifinta ba ne
1313351690695990000,06/10/20 05:33,Aka haifi mai omo
1313351352593070000,06/10/20 05:32,Fita da Allah ya Isa
1313351319609020000,06/10/20 05:32,Motar zalunci ai dole abiya
1313351281017260000,06/10/20 05:32,Kinaimi afuwa agurin Allah shiyafi.
1313348098861690000,06/10/20 05:19,Gaskiya dayace daga kinta...
1313348085834280000,06/10/20 05:19,Belbela da farinta
1313347727145740000,06/10/20 05:17,"Abu mai suna ""Danasa"" keyace. Taje tanema Gafaral ""Allah"" Bana jama'a ba."
1313347521692030000,06/10/20 05:17,Masha Allah... Hakan yayi
1313347454935410000,06/10/20 05:16,Baya kyautatawa nakusa dashi.
1313347174365910000,06/10/20 05:15,Matsalar karyace garau tke
1313347142082350000,06/10/20 05:15,Fita da Allah ya'isaba
1313346407416430000,06/10/20 05:12,Senatoti zasu koma miskinai kenan
1313346370091220000,06/10/20 05:12,To ina ruwansu da kayanta.
1313345938514150000,06/10/20 05:10,Allah ya yafemata
1313345911058320000,06/10/20 05:10,Ehh kadanyi gaskiya
1313345798374120000,06/10/20 05:10,Domin za'a biya a station.
